Dictionary,Structure,Size,NumElements,InsertionTime(ms),SearchTime(ms),MapTime(ms),ReduceTime(ms),UpdateTime(ms),IterationTime(ms)
HashTable,Vector,10000,1000,1,0,0,0,0,0
BTree,Vector,10000,1000,12,0,0,0,0,0
HashTable,Matrix,1000,100000,226,31,34,11,33,11
BTree,Matrix,1000,100000,1961,109,50,8,103,7
HashTable,Vector,20000,2000,11,0,0,0,0,0
BTree,Vector,20000,2000,24,1,0,0,1,0
HashTable,Matrix,2000,400000,946,142,140,46,164,46
BTree,Matrix,2000,400000,10243,629,247,43,574,38
HashTable,Vector,30000,3000,43,0,0,0,0,0
BTree,Vector,30000,3000,39,1,0,0,1,0
HashTable,Matrix,3000,900000,2234,349,332,111,395,107
BTree,Matrix,3000,900000,22757,1833,655,106,1509,88
HashTable,Vector,40000,4000,144,0,1,0,0,0
BTree,Vector,40000,4000,92,4,2,0,4,0
HashTable,Matrix,4000,1600000,4770,695,615,226,669,192
BTree,Matrix,4000,1600000,45903,3117,1046,165,3165,196
HashTable,Vector,50000,5000,228,1,1,0,1,0
BTree,Vector,50000,5000,70,3,1,0,4,0
HashTable,Matrix,5000,2500000,5458,1096,1167,372,1112,352
BTree,Matrix,5000,2500000,68615,4962,1618,260,5000,330
HashTable,Vector,60000,6000,386,1,2,0,1,0
BTree,Vector,60000,6000,102,5,2,0,4,0
HashTable,Matrix,6000,3600000,10028,1513,1622,555,1867,473
BTree,Matrix,6000,3600000,97953,6414,2303,374,6317,363
